,Name,Latitude,Longitude,Temperature (F),Maximum Temperature(F),Minimum Temperature(F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Mistassini,48.89,-72.2,27.72,30.2,26.6,92,90,16.11
1,Edinburgh of the Seven Seas,-37.07,-12.31,52.56,52.56,52.56,80,18,17.13
2,Hawaiian Paradise Park,19.59,-154.97,73.42,77.0,68.0,83,90,11.41
3,Torbay,47.67,-52.73,30.16,32.0,28.4,79,40,8.05
4,Yellowknife,62.46,-114.35,8.2,8.6,8.01,84,90,16.11
5,Quelimane,-17.88,36.89,80.29,80.6,80.01,88,20,14.99
6,Dunedin,-45.87,170.5,54.0,54.0,54.0,66,18,28.99
7,Hanga Roa,-27.15,-109.43,69.8,69.8,69.8,56,75,16.11
8,Aweil,8.77,27.4,76.77,76.77,76.77,31,73,2.91
9,Acarau,-2.89,-40.12,80.71,80.71,80.71,74,92,15.75
10,Halfmoon Bay,49.52,-123.92,44.15,45.0,43.0,87,100,19.46
11,Puerto Villamil,-0.96,-90.97,73.42,73.42,73.42,66,12,11.27
12,Kingston,18.0,-76.79,79.84,84.2,75.99,74,75,13.87
13,Mogadishu,2.04,45.34,80.04,80.04,80.04,83,4,12.53
14,Severo-Kuril'sk,50.68,156.12,30.25,30.25,30.25,91,88,26.11
15,Albany,42.6,-73.97,40.21,41.0,39.0,71,7,3.0
16,Georgetown,5.41,100.34,77.63,78.8,77.0,88,20,4.7
17,Provideniya,64.38,-173.3,23.0,23.0,23.0,85,75,4.47
18,Happy Valley,45.45,-122.53,47.19,50.0,45.0,93,90,3.36
19,Waitangi,-43.95,-176.56,50.52,50.52,50.52,72,62,18.14
20,Laguna,38.42,-121.42,60.98,62.01,59.0,47,1,8.05
21,Alesund,62.47,6.15,42.04,44.6,39.99,70,75,10.29
22,Puerto Williams,-54.93,-67.62,48.2,48.2,48.2,70,75,25.28
23,Bredasdorp,-34.53,20.04,60.8,60.8,60.8,63,98,17.22
24,Auki,-8.77,160.7,81.59,81.59,81.59,77,96,3.4
25,Vila do Porto,36.97,-25.1,64.4,64.4,64.4,88,75,4.7
26,Iqaluit,63.75,-68.51,-2.2,-2.2,-2.2,77,75,11.41
27,Margaret River,-33.95,115.07,52.0,52.0,52.0,89,0,4.72
28,Krasnogorsk,55.82,37.32,34.48,35.6,33.8,93,90,11.18
29,Port Elizabeth,-33.92,25.57,62.6,62.6,62.6,88,81,11.41
30,Grytviken,-54.28,-36.51,46.62,46.62,46.62,77,37,3.76
31,Nurlat,54.43,50.81,22.19,22.19,22.19,97,100,14.94
32,Koronadal,6.5,124.85,74.08,74.08,74.08,88,99,0.78
33,Leava,-14.3,-178.17,80.22,80.22,80.22,79,100,21.45
34,Safotu,-13.45,-172.4,80.6,80.6,80.6,88,90,6.93
35,Campbell River,50.02,-125.24,43.05,44.01,42.01,87,75,5.82
36,Liberia,6.5,-9.5,74.86,74.86,74.86,88,83,4.09
37,Cap Malheureux,-19.98,57.61,73.99,73.99,73.99,78,18,1.99
38,Senhor do Bonfim,-10.46,-40.19,80.62,80.62,80.62,55,3,7.31
39,Port Lincoln,-34.73,135.87,57.22,57.22,57.22,76,22,3.91
40,Nord,19.3,29.5,64.0,64.0,64.0,29,0,11.68
41,Hithadhoo,-0.6,73.08,81.63,81.63,81.63,76,100,10.94
42,Svolvaer,68.23,14.57,34.54,35.6,33.01,80,0,9.17
43,Hammerfest,70.66,23.68,33.8,33.8,33.8,87,90,26.4
44,Walvisbaai,-22.96,14.51,60.44,60.8,60.01,72,0,6.93
45,Puerto de la Cruz,28.41,-16.55,66.99,66.99,66.99,49,43,3.0
46,Krong Kep,10.48,104.32,78.8,78.8,78.8,83,20,9.06
47,Olekminsk,60.37,120.43,-0.51,-0.51,-0.51,91,39,3.4
48,El Bayadh,33.68,1.02,37.4,37.4,37.4,69,0,4.7
49,Petropavlovsk-Kamchatskiy,53.05,158.65,19.4,19.4,19.4,67,0,15.66
50,Shali,43.15,45.9,30.2,30.2,30.2,92,80,2.24
51,Halls Creek,-18.27,127.77,85.14,85.14,85.14,44,60,9.31
52,College,64.86,-147.8,-1.3,9.0,-9.4,76,75,3.76
53,Lebu,-37.62,-73.65,57.52,57.52,57.52,67,0,8.46
54,Kodiak,57.79,-152.41,35.6,35.6,35.6,92,90,21.92
55,Qaanaaq,77.48,-69.36,7.03,7.03,7.03,83,100,4.7
56,Burgos,42.34,-3.71,44.13,46.0,42.8,52,0,1.12
57,Ternate,0.8,127.4,80.55,80.55,80.55,80,72,5.61
58,Ponta do Sol,32.67,-17.1,61.25,64.4,57.99,77,20,5.82
59,Viseu,40.66,-7.91,48.33,52.0,44.01,90,100,2.84
60,East London,-33.02,27.91,69.3,69.3,69.3,79,44,0.83
61,Yulara,-25.24,130.99,75.2,75.2,75.2,27,62,9.17
62,Punakha,27.58,89.86,48.27,48.27,48.27,53,26,1.36
63,Pago Pago,-14.28,-170.7,75.2,75.2,75.2,88,90,3.36
64,Kalanchak,46.26,33.29,40.26,40.26,40.26,74,100,4.27
65,Zvezdnyy,57.73,56.31,23.0,23.0,23.0,67,75,6.71
66,I-n-Salah,27.19,2.46,62.6,62.6,62.6,43,0,13.87
67,Port Mathurin,-19.68,63.42,76.69,76.69,76.69,84,5,18.63
68,Thompson,55.74,-97.86,6.8,6.8,6.8,84,90,3.36
69,Torghay,49.63,63.5,13.55,13.55,13.55,92,4,1.3
70,Ouadda,8.08,22.4,72.18,72.18,72.18,38,60,4.09
71,Ornskoldsvik,63.29,18.72,32.0,32.0,32.0,88,0,6.93
72,Qamdo,31.17,97.23,17.01,17.01,17.01,86,51,4.74
73,Ziguinchor,12.58,-16.27,78.8,78.8,78.8,83,0,6.13
74,Flin Flon,54.77,-101.86,14.0,14.0,14.0,72,90,9.17
75,Villarrica,-25.75,-56.43,93.27,93.27,93.27,31,0,4.88
76,Hadibu,12.65,54.03,79.47,79.47,79.47,80,0,8.28
77,Port Alfred,-33.59,26.89,66.42,66.42,66.42,79,93,10.85
78,Kropotkin,45.44,40.58,37.54,37.54,37.54,80,65,10.63
79,Alenquer,-1.94,-54.74,86.0,86.0,86.0,70,20,9.17
80,Kerikeri,-35.23,173.95,57.99,57.99,57.99,93,100,3.0
81,Luderitz,-26.65,15.16,62.6,62.6,62.6,77,0,10.29
82,Louang Namtha,20.95,101.4,63.61,63.61,63.61,86,4,0.98
83,Santiago,-33.46,-70.65,81.14,84.0,78.8,28,0,9.17
84,Buala,-8.14,159.59,80.28,80.28,80.28,78,100,5.99
85,Okhotsk,59.38,143.3,-0.33,-0.33,-0.33,85,94,16.89
86,Uummannaq,70.67,-52.13,17.53,17.53,17.53,85,100,7.74
87,Sitka,57.05,-135.33,39.2,39.2,39.2,86,90,27.51
88,Bengkulu,-3.8,102.27,73.38,73.38,73.38,94,100,5.55
89,Boyarka,50.32,30.3,39.99,41.0,39.0,80,0,11.18
90,Ciudad Lazaro Cardenas,17.96,-102.2,83.77,83.77,83.77,70,0,8.95
91,Ancud,-41.87,-73.82,51.37,57.0,45.0,87,90,9.17
92,Waingapu,-9.66,120.26,81.0,81.0,81.0,75,76,3.09
93,Altay,47.87,88.12,13.96,13.96,13.96,66,41,3.47
94,Kapaa,22.08,-159.32,79.11,80.6,78.01,74,1,20.8
95,Dzuunharaa,48.85,106.46,18.28,18.28,18.28,90,100,1.72
96,Sisimiut,66.94,-53.67,18.23,18.23,18.23,86,100,20.51
97,Akrehamn,59.27,5.18,48.7,48.99,48.2,70,75,25.28
98,Rio Grande,-32.03,-52.1,77.32,78.8,75.99,61,40,25.28
99,Kavaratti,10.57,72.64,81.48,81.48,81.48,69,41,8.68
100,Vila Velha,-20.33,-40.29,75.09,75.2,75.0,83,75,6.93
101,Troitsk,54.1,61.58,14.23,14.23,14.23,93,98,7.23
102,Kambove,-10.88,26.6,64.53,64.53,64.53,91,98,2.48
103,Dikson,73.51,80.55,10.15,10.15,10.15,96,100,17.76
104,Nova Sintra,14.87,-24.72,73.89,73.89,73.89,84,71,11.68
105,Birao,10.28,22.79,76.08,76.08,76.08,33,100,3.49
106,Kalbarri,-27.67,114.17,80.47,80.47,80.47,36,0,8.52
107,Navadwip,23.42,88.37,62.4,62.4,62.4,53,9,6.15
108,Lashkar Gah,31.59,64.37,50.86,50.86,50.86,58,100,3.13
109,Kalaheo,21.92,-159.53,79.11,80.6,78.01,74,1,20.8
110,Jiayuguan,39.82,98.3,13.17,13.17,13.17,88,35,6.42
111,Punta Arenas,-53.15,-70.92,53.6,53.6,53.6,37,75,20.8
112,Khatanga,71.97,102.5,0.84,0.84,0.84,93,97,11.07
113,Hambantota,6.12,81.12,77.43,77.43,77.43,88,95,6.11
114,Balsas,-7.53,-46.04,77.88,77.88,77.88,83,97,4.34
115,Bontang,0.13,117.5,77.72,77.72,77.72,87,100,5.44
116,Mathura,27.5,77.68,58.53,58.53,58.53,34,0,2.73
117,Alanya,36.54,32.0,51.8,51.8,51.8,100,20,4.7
118,Abadla,36.13,1.53,55.4,55.4,55.4,54,0,3.36
119,Guangyuan,32.44,105.82,36.88,45.0,32.0,99,100,3.49
120,Baruun-Urt,46.68,113.28,10.22,10.22,10.22,94,48,13.29
121,La Ronge,55.1,-105.28,12.2,12.2,12.2,78,99,9.17
122,Durban,-29.86,31.03,69.66,71.6,68.0,88,75,5.82
123,Jacareacanga,-6.22,-57.75,84.2,84.2,84.2,74,75,3.36
124,Virac,13.63,124.22,72.91,72.91,72.91,94,100,14.58
125,Kitale,1.02,35.01,59.27,59.27,59.27,71,48,1.34
126,Sangar,63.92,127.47,-21.84,-21.84,-21.84,87,91,4.36
127,Huilong,31.81,121.66,50.92,52.0,50.0,96,100,10.42
128,Igarka,67.47,86.58,8.47,8.47,8.47,95,100,16.51
129,Ust'-Kamchatsk,56.24,162.52,24.1,24.1,24.1,90,100,20.98
130,Golfito,8.64,-83.17,79.72,79.72,79.72,85,76,4.27
131,Santana,-0.06,-51.18,78.8,78.8,78.8,100,75,9.17
132,Port Shepstone,-30.74,30.45,69.35,69.35,69.35,89,81,3.51
133,Avarua,-21.21,-159.78,78.8,78.8,78.8,78,98,4.7
134,Aleg,17.05,-13.92,85.93,85.93,85.93,14,99,11.95
135,Chongqing,29.56,106.55,47.25,48.0,46.4,93,90,2.24
136,Dargaville,-35.93,173.88,55.94,55.94,55.94,86,100,5.46
137,Pires do Rio,-17.3,-48.28,74.61,74.61,74.61,81,4,4.34
138,Sumbawanga,-7.97,31.62,68.0,68.0,68.0,77,20,1.52
139,Vadso,70.07,29.75,29.77,32.0,28.4,86,20,14.99
140,Callao,-12.07,-77.15,68.45,69.01,68.0,68,20,13.87
141,Maina,28.85,76.6,60.46,60.46,60.46,32,17,3.76
142,Teeli,51.03,90.23,12.49,12.49,12.49,94,100,0.78
143,Bandundu,-3.32,17.37,70.9,70.9,70.9,96,100,2.35
144,Brest,52.1,23.7,41.5,41.5,41.5,76,87,16.17
145,Capitol Hill,51.07,-114.1,32.5,33.8,32.0,93,20,8.05
146,Noumea,-22.28,166.46,76.33,77.0,75.2,69,0,1.12
147,Sigatoka,-18.14,177.51,78.8,78.8,78.8,78,40,4.7
148,Ushuaia,-54.8,-68.3,48.2,48.2,48.2,66,20,19.46
149,Zyryanka,65.75,150.85,0.79,0.79,0.79,93,100,9.53
150,Taro,-8.39,115.28,80.6,80.6,80.6,83,40,1.12
151,Ilulissat,69.22,-51.1,17.6,17.6,17.6,61,40,21.92
152,Poronaysk,49.22,143.12,19.45,19.45,19.45,88,3,9.33
153,Asau,46.43,26.4,43.0,43.0,43.0,72,100,5.08
154,Umba,66.69,34.34,35.31,35.31,35.31,97,100,2.42
155,Mezen,65.85,44.24,30.04,30.04,30.04,96,100,11.95
156,Dayan,26.87,100.22,35.28,35.28,35.28,82,0,4.32
157,Saldanha,-33.01,17.94,62.6,62.6,62.6,63,82,4.7
158,Tralee,52.27,-9.7,53.6,53.6,53.6,93,90,9.17
159,Te Anau,-45.42,167.72,55.53,55.53,55.53,58,34,1.92
160,Weno,7.45,151.85,78.8,78.8,78.8,94,90,5.82
161,Windorah,-25.43,142.65,83.32,83.32,83.32,47,63,17.45
162,Mesquite,32.77,-96.6,60.15,62.01,59.0,70,86,3.0
163,Sassnitz,54.52,13.65,41.0,41.0,41.0,91,43,1.01
164,Pacific Grove,36.62,-121.92,55.8,59.0,54.0,76,75,11.21
165,Rockport,28.02,-97.05,73.0,73.0,73.0,83,62,7.0
166,Porto Amboim,-10.73,13.76,77.02,77.02,77.02,84,99,7.4
167,Woodmoor,39.1,-104.85,55.26,59.0,51.01,24,75,14.99
168,Jamestown,42.1,-79.24,35.92,37.0,33.8,100,90,9.17
169,San Patricio,28.02,-97.52,74.03,75.2,73.0,69,40,14.99
170,Alausi,-2.2,-78.83,60.8,60.8,60.8,87,90,13.87
171,Victoria,22.29,114.16,69.96,73.0,63.0,83,91,17.36
172,Oban,56.41,-5.47,48.9,51.01,46.99,96,100,3.0
173,Chui,-33.7,-53.46,70.11,70.11,70.11,70,0,16.24
174,Katsuura,35.13,140.3,54.99,55.4,54.0,47,75,23.04
175,Serdar,38.98,56.28,42.31,42.31,42.31,58,96,3.11
176,Navojoa,27.1,-109.43,86.77,88.0,84.99,38,1,1.99
177,Tobolsk,58.2,68.27,14.18,14.18,14.18,95,86,8.79
178,Verona,45.42,11.03,39.04,41.0,35.6,63,0,4.7
179,Lompoc,34.64,-120.46,60.98,62.6,57.2,55,1,18.34
180,An Nuhud,12.7,28.43,72.45,72.45,72.45,23,0,16.11
181,Theodore,30.55,-88.18,65.86,68.0,64.0,40,1,11.41
182,Vilyuysk,63.76,121.62,-6.74,-6.74,-6.74,90,100,6.64
183,Omsukchan,62.53,155.8,-13.36,-13.36,-13.36,85,100,4.07
184,Fayroz Koh,34.52,65.25,31.08,31.08,31.08,94,100,4.81
185,Puerto Aysen,-45.4,-72.7,50.0,50.0,50.0,81,90,17.22
186,Karlstad,59.38,13.5,33.8,33.8,33.8,86,53,5.82
187,Bodaybo,57.85,114.19,15.66,15.66,15.66,91,100,5.91
188,Kulusuk,65.58,-37.18,24.8,24.8,24.8,68,100,2.24
189,Merimbula,-36.9,149.9,60.8,60.8,60.8,77,49,6.93
190,Nordvik,60.17,22.55,40.03,42.01,39.0,76,92,11.99
191,Sambava,-14.27,50.17,74.5,74.5,74.5,83,85,8.79
192,Bislig,8.22,126.28,74.3,74.3,74.3,91,99,3.02
193,Ocean Shores,46.97,-124.16,49.96,51.01,48.2,76,1,6.93
194,Kleinmond,-34.34,19.03,60.58,62.01,59.0,72,75,11.41
195,Mount Gambier,-37.83,140.77,55.4,55.4,55.4,82,90,6.93
196,Balqash,46.85,75.0,15.87,15.87,15.87,96,40,8.03
197,Santa Ana de Yacuma,-13.75,-65.43,98.6,98.6,98.6,44,20,4.7
198,Tasiilaq,65.61,-37.64,24.8,24.8,24.8,68,100,2.24
199,Church Point,30.4,-92.22,67.03,68.0,66.0,67,0,4.0
200,Nadym,65.53,72.52,11.01,11.01,11.01,94,38,14.03
201,Mahesana,23.6,72.4,57.2,57.2,57.2,82,0,6.17
202,Boulia,-22.9,139.9,86.92,86.92,86.92,20,0,17.85
203,Atasu,48.68,71.64,7.77,7.77,7.77,92,75,5.19
204,Humahuaca,-23.21,-65.35,70.68,70.68,70.68,34,3,13.13
205,Kampong Chhnang,12.17,104.55,72.93,72.93,72.93,82,4,2.04
206,Asha,55.0,57.27,21.11,21.11,21.11,90,99,2.46
207,Whitehorse,60.72,-135.05,15.85,17.6,12.99,92,90,24.16
208,Tongliao,43.61,122.27,13.95,13.95,13.95,93,4,7.16
209,Bilibino,68.05,166.44,3.24,3.24,3.24,91,100,1.5
210,Shintoku,43.07,142.83,28.31,28.31,28.31,90,61,19.28
211,Saint John's,47.56,-52.71,30.09,32.0,28.4,79,40,8.05
212,Al Marj,32.49,20.83,60.75,60.75,60.75,66,67,6.89
213,Campos,-21.75,-41.3,75.2,75.2,75.2,94,75,4.7
214,Sabha,27.04,14.43,55.49,55.49,55.49,43,0,11.07
215,Holualoa,19.62,-155.95,74.77,82.4,61.0,74,90,9.17
216,Hearst,49.68,-83.67,10.4,10.4,10.4,78,95,6.93
217,Anchorage,61.22,-149.9,27.72,30.99,24.8,58,90,14.99
218,La Esmeralda,3.17,-65.55,87.24,87.24,87.24,64,33,2.62
